Date,Crime Type,Crime Description,District,Ward,Latitude,Longitude,Location,Arrest,Year
2016-05-24 22:00:00,OTHER OFFENSE,TELEPHONE THREAT,2.0,20.0,41.787014838000005,-87.619031541,"(41.787014838, -87.619031541)",False,2016
2016-06-19 22:27:00,ROBBERY,ATTEMPT: ARMED-OTHER DANG WEAP,25.0,37.0,41.90970003,-87.740087029,"(41.90970003, -87.740087029)",False,2016
2016-11-16 11:30:00,THEFT,FROM BUILDING,25.0,37.0,41.909588772,-87.748894125,"(41.909588772, -87.748894125)",False,2016
2016-12-10 01:30:00,BATTERY,SIMPLE,12.0,42.0,41.888519671,-87.64282025,"(41.888519671, -87.64282025)",True,2016
2016-10-26 17:30:00,KIDNAPPING,UNLAWFUL INTERFERE/VISITATION,7.0,6.0,41.773888475999996,-87.636840097,"(41.773888476, -87.636840097)",False,2016
2016-11-12 03:10:00,CRIMINAL DAMAGE,TO VEHICLE,6.0,17.0,41.756096643,-87.644487127,"(41.756096643, -87.644487127)",True,2016
2016-02-07 09:52:00,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,11.0,24.0,41.875162033,-87.733947821,"(41.875162033, -87.733947821)",False,2016
2016-01-20 08:05:00,OTHER OFFENSE,TELEPHONE THREAT,24.0,49.0,42.009033323000004,-87.671035334,"(42.009033323, -87.671035334)",False,2016
2016-02-07 04:25:00,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,14.0,1.0,41.932167862,-87.688328537,"(41.932167862, -87.688328537)",False,2016
2016-10-18 15:55:00,BATTERY,SIMPLE,3.0,20.0,41.770265624000004,-87.615379281,"(41.770265624, -87.615379281)",False,2016
2016-03-03 12:40:00,THEFT,RETAIL THEFT,1.0,42.0,41.883500186999996,-87.627876698,"(41.883500187, -87.627876698)",True,2016
2016-11-17 02:00:00,CRIMINAL DAMAGE,TO VEHICLE,11.0,37.0,41.902033059000004,-87.731206045,"(41.902033059, -87.731206045)",False,2016
2016-01-20 17:00:00,CRIMINAL DAMAGE,TO VEHICLE,17.0,33.0,41.943319049,-87.69793475600001,"(41.943319049, -87.697934756)",False,2016
2016-02-19 09:15:00,CRIMINAL DAMAGE,TO VEHICLE,19.0,43.0,41.927926897,-87.645118484,"(41.927926897, -87.645118484)",False,2016
2016-11-06 01:15:00,ROBBERY,STRONGARM - NO WEAPON,4.0,10.0,41.6482009,-87.542618224,"(41.6482009, -87.542618224)",False,2016
2016-11-04 12:50:00,CRIMINAL DAMAGE,TO VEHICLE,12.0,25.0,41.856470062,-87.6661109,"(41.856470062, -87.6661109)",False,2016
2016-09-04 21:22:00,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,3.0,6.0,41.761572168,-87.616773722,"(41.761572168, -87.616773722)",False,2016
